"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 03 12:29:38 IST 2022","Thu Nov 03 12:29:58 IST 2022","20328","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""earth""",""
"failed","Thu Nov 03 12:44:19 IST 2022","Thu Nov 03 12:44:21 IST 2022","1554","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""wireframe""",""
"failed","Thu Nov 03 12:50:18 IST 2022","Thu Nov 03 12:50:22 IST 2022","4303","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""fast car""",""
"failed","Thu Nov 03 12:43:00 IST 2022","Thu Nov 03 12:43:01 IST 2022","845","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""valetines""",""
"failed","Thu Nov 03 12:46:26 IST 2022","Thu Nov 03 12:46:27 IST 2022","570","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""big size model""",""
"failed","Thu Nov 03 12:57:50 IST 2022","Thu Nov 03 12:57:56 IST 2022","6634","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""youtube""",""
"failed","Thu Nov 03 12:57:31 IST 2022","Thu Nov 03 12:57:33 IST 2022","2695","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""war zone""",""
"failed","Thu Nov 03 12:57:46 IST 2022","Thu Nov 03 12:57:47 IST 2022","424","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""woman falling with colorful light""",""
"passed","Thu Nov 03 12:35:49 IST 2022","Thu Nov 03 12:36:09 IST 2022","19574","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""mobile""",""
"passed","Thu Nov 03 12:25:22 IST 2022","Thu Nov 03 12:25:40 IST 2022","17412","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""black background""",""
"failed","Thu Nov 03 12:46:25 IST 2022","Thu Nov 03 12:46:26 IST 2022","740","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""beyonce""",""
"passed","Thu Nov 03 12:56:34 IST 2022","Thu Nov 03 12:56:50 IST 2022","16228","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""sun flare""",""
"failed","Thu Nov 03 12:43:19 IST 2022","Thu Nov 03 12:43:40 IST 2022","21016","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""wandering city""",""
"failed","Thu Nov 03 12:24:57 IST 2022","Thu Nov 03 12:25:02 IST 2022","5726","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""black""",""
"failed","Thu Nov 03 12:34:41 IST 2022","Thu Nov 03 12:34:43 IST 2022","1834","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""innocent""",""
"passed","Thu Nov 03 12:37:44 IST 2022","Thu Nov 03 12:37:55 IST 2022","10830","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""powerful""",""
